Video ID,Playlist video creation timestamp
RdOFlMnOU4E,2023-07-18T18:26:29+00:00
4UFiBRHtxyQ,2023-07-18T18:26:45+00:00
oTWhj_kJeRE,2023-07-18T18:27:20+00:00
4IyUJ350oJs,2023-07-18T18:27:55+00:00
pxWXZaBbIeU,2023-07-18T18:29:21+00:00
uqT1iWLdAjI,2023-07-18T18:31:00+00:00
D14jT1IjYTY,2023-07-18T18:31:36+00:00
7uC-XdzFLzw,2023-07-18T18:35:23+00:00
bH4UDgIzQgE,2023-07-18T18:39:01+00:00
hbwVmveORF4,2023-07-18T18:40:22+00:00
30Y98hDbf9g,2023-07-18T18:41:45+00:00
nGSYtZiEgn8,2023-07-18T18:41:51+00:00
wQ88jK815q4,2023-07-18T18:43:04+00:00
9ANJpTsIpI4,2023-07-18T18:45:24+00:00
yBQG231w8RM,2023-07-18T18:47:55+00:00
z940wy3qNuk,2023-07-21T22:06:04+00:00
L6JBf51oX3s,2023-07-21T22:11:32+00:00
ekrHMpTqx7M,2023-07-21T22:14:42+00:00
_yG7lijfjvo,2023-07-21T22:17:34+00:00
KwuJPeJptsg,2023-07-26T10:51:23+00:00
F-T_bM6UJGQ,2023-07-26T10:52:03+00:00
PPO2oezO49k,2023-07-26T10:52:44+00:00
 -Nl-FILk7nM,2023-07-26T10:53:10+00:00
7OJsIUGEElQ,2023-07-31T05:59:09+00:00
G60xj0ZZwfU,2023-07-31T06:04:53+00:00
9VLWrH6Yrho,2023-08-04T17:43:41+00:00
eHY-XAZmZQk,2023-12-06T18:57:00+00:00





