Playlist ID,Add new videos to top,Playlist description (original),Playlist image 1 Create timestamp,Playlist image 1 URL,Playlist image 1 Height,Playlist image 1 Width,Playlist image 2 Create timestamp,Playlist image 2 URL,Playlist image 2 Height,Playlist image 2 Width,Playlist title (original),Playlist title (original) language,Playlist create timestamp,Playlist update timestamp,Playlist video order,Playlist visibility
PLpUSZmq6IQeUd36VRmllwwBWTdQbOG5DL,False,,,,,,,,,,Deep House Music (Collection),,2023-03-10T19:34:02+00:00,2023-05-21T05:56:30+00:00,Manual,Public
PLpUSZmq6IQeUF9S4vMyQV-1Hi-7N0dfFi,False,,2023-07-18T18:29:22.118294337+00:00,https://yt3.googleusercontent.com/NXFg8Nzx6wwB8Q_SmbkkuE-S_LtER71F26EOD57_Yhw9KbtveawnfFy_UQ3yCtOzFvgIPUIz4Q,1000,1000,2023-07-18T18:27:21.322886407+00:00,https://yt3.googleusercontent.com/VyENbeTSO_63afqMfkADb_5CkiKVyi3Dmfjn22Vzvxf2xvYVsxf_7GKAZMa8LWVX0JXeEi-MR5s,1000,1000,AfroTunes 2023-4,,2023-07-18T18:26:29+00:00,2023-12-06T18:57:00+00:00,Manual,Public
PLpUSZmq6IQeXZErGxHI7MK9e84HP6qg0t,True,,,,,,,,,,Watch later,en_US,2023-01-21T12:48:43+00:00,2024-01-15T16:07:25+00:00,Manual,Private
PLpUSZmq6IQeVdcj3sqAppPnT_0Y6aDWAR,False,,2022-12-25T18:49:04.718135335+00:00,https://yt3.googleusercontent.com/8M0DdJomziwnAaY86ez4SB0YCADIwc-GCb_DsaY-299wsxdGuiEuWiDpS6qYvL-M8zD94XE01C8,1000,1000,,,,,Best House Music (South Africa),,2022-12-25T18:11:45+00:00,2023-06-01T23:03:30+00:00,Manual,Private
PLpUSZmq6IQeV3t479tHNdzW33_4imrlKU,False,,,,,,,,,,Ruck House,,2023-08-05T08:40:03+00:00,2023-08-05T08:52:47+00:00,Manual,Public
PLpUSZmq6IQeX1ILFSno4vCPrdarD_sMS5,False,,2023-01-24T07:51:45.498767526+00:00,https://yt3.googleusercontent.com/CQ4vBjEYR9smwBwg1V47TTe2kR9WITpZIySXQ2nzD3vD7d9tYzyeKd4QY0KPOBbMluJtOAAgYYI,1000,1000,,,,,AfroTunes 2022-3,,2023-01-02T20:02:47+00:00,2023-07-18T18:26:19+00:00,Manual,Public
PLpUSZmq6IQeW0NEZ2a1yypxqYt9qgIyA8,False,,2023-05-22T07:55:10.879642372+00:00,https://yt3.googleusercontent.com/BgS8mdp8UKxHqSzWJHFXWwB5HGFnEPhvy0m0k-pDT2jVVVMCIeh-_ACfIwVJraVl-JpKez4x2g,1000,1000,,,,,Home Leave Piano,,2023-05-22T07:55:09+00:00,2023-11-12T08:26:45+00:00,Manual,Public
PLpUSZmq6IQeVxEikHKVX0shw831xYn3K9,False,,,,,,,,,,Audiobooks,,2023-05-29T20:18:22+00:00,2023-05-29T20:18:22+00:00,Manual,Private
PLpUSZmq6IQeUKDWsTQ-AGRkwh4rCg248H,False,"South African house music 2022, featuring official videos (curated as best as possible)",2023-03-12T01:09:11.958334487+00:00,https://yt3.googleusercontent.com/8LLQiSuiCjk3ANoMerk-S8GHbLuYeP2jB51qUdVUWGJZGpnOOTQdBsJRpfgR0nxbqwSjzdKiAJE,1000,1000,,,,,Best of House Videos 2022 (South Africa),,2022-12-25T17:16:35+00:00,2023-05-21T05:56:25+00:00,Manual,Public





